Entity,Code,Year,Unsafe water source (deaths),Poor sanitation (deaths),No access to handwashing facility (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),Non-exclusive breastfeeding (deaths),Discontinued breastfeeding (deaths),Child wasting (deaths),Child stunting (deaths),Low birth weight (deaths),Secondhand smoke (deaths),Alcohol use (deaths),Drug use (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),Low physical activity (deaths),High blood sugar (deaths),High cholesterol (deaths),High body-mass index (obesity) (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Low bone mineral density (deaths)
Northern Mariana Islands,MNP,1995,0.159597587,0.086972969,0.142948904,4.599378603,5.572890455,0.117803359,0.00206374,0.883211504,0.05248468,2.541640068,3.245759617,3.7834963,0.485646779,4.418219786,5.108417152,2.267499952,2.480495625,25.45484897,10.57567899,25.38687483,25.25888117,24.42983323,0.060632954,0.028434342,0.000916577,0.609100312
Northern Mariana Islands,MNP,2000,0.153418691,0.080771366,0.140458315,3.999947262,5.86216382,0.10697883,0.001613452,0.782518319,0.052370773,1.842541206,3.607255212,4.80545451,0.697203377,4.289043556,5.177731189,2.999704461,2.753395746,29.90951379,11.29987523,29.00900369,27.51763147,25.49893406,0.053384458,0.025361731,0.003596104,0.722599476
Northern Mariana Islands,MNP,2005,0.175332642,0.090646988,0.151969114,3.993232411,6.792159967,0.088538063,0.001739107,0.614657651,0.040206048,1.376916164,4.205426119,6.493142107,1.051629098,4.677001468,5.664243597,3.538841349,3.206904468,37.56704898,13.17427096,35.35985371,31.31064469,30.11951139,0.043943251,0.021098971,0.000633426,0.943385637
Northern Mariana Islands,MNP,2006,0.181886563,0.093689288,0.154908259,4.039281306,6.962238077,0.07791701,0.001713378,0.534937192,0.035265073,1.16101903,4.303233452,7.031152929,1.115766767,5.079386382,6.005038898,3.715113491,3.330996466,39.0233285,13.83793348,36.60701977,32.81026035,31.27645973,0.040996215,0.018020338,0.000620285,0.982853596
Northern Mariana Islands,MNP,2010,0.209599298,0.106475332,0.17412083,4.468533,8.103681263,0.050499136,0.001504569,0.339622636,0.021908741,0.676168988,5.115242526,9.198688089,1.456572799,7.7888511,8.095658939,4.765527259,4.124409674,47.30885322,17.8111767,44.16515247,40.77917147,37.74663779,0.065723934,0.010482015,0.00052446,1.144926744
Northern Mariana Islands,MNP,2016,0.25145466,0.127211049,0.217641113,4.684080076,11.18960558,0.060734306,0.001513324,0.446180407,0.029829134,0.94058013,6.633798839,12.22828715,2.040903888,12.66045772,11.49604567,7.13449911,5.344458293,62.29597355,23.81911665,57.53448573,53.55259372,49.18921292,0.068700978,0.008849782,0.002990677,1.366788993
Norway,NOR,1990,4.13033644,3.423885886,19.90153949,163.6833237,2131.857742,1.590813968,0.04787162,5.963102537,0.332347403,67.78139793,557.8479846,141.0275149,218.2932134,1871.611535,2496.687382,213.6497815,2067.976328,4022.609067,7278.566067,3270.756577,12914.56339,7099.208239,0.567941852,0.256409577,0.013362997,596.3605454
Norway,NOR,1995,4.754694602,3.570559197,18.88254342,107.5336884,1926.436155,0.796860102,0.039963329,2.970484979,0.136590931,43.35390352,500.8440689,168.8076603,310.4743599,1691.388663,2278.453045,219.8356932,1951.880708,4189.440753,6665.15441,3175.556369,11462.23062,7075.610995,0.453155513,0.161414207,0.014858213,592.7036911
Norway,NOR,2000,6.640012756,4.243442094,17.45333129,79.48068478,1707.94279,0.717198018,0.05487168,2.434531592,0.103457514,37.25627899,389.7908587,483.1756553,479.4438509,1430.46088,1988.660762,166.8448344,1783.140583,4185.936297,5829.330429,3094.535161,9938.249834,7078.508444,0.572602641,0.129503569,0.017283455,688.8173002
Norway,NOR,2005,12.57948997,6.475726902,18.77242225,58.23328006,1356.127981,0.665262463,0.078097792,1.835584895,0.076950282,32.62798127,310.371293,898.1414467,475.1616084,1135.846739,1571.138846,164.1060689,1467.561804,3856.743503,4644.833744,2984.233364,8187.951118,6661.113769,0.737471843,0.089462402,0.019622217,648.792286
Norway,NOR,2006,14.22545858,7.124186672,19.45137251,55.32834728,1337.696254,0.686178775,0.085446148,1.845173995,0.076450475,32.60603965,304.666256,945.3883591,472.5960273,1101.244145,1526.647685,157.971932,1435.648214,3847.61816,4540.938938,3017.930342,8044.671124,6627.864446,0.808317848,0.096470435,0.021248366,652.9035401
Norway,NOR,2010,19.58282254,8.694166746,22.00089207,44.78168518,1288.168493,0.670137677,0.097698963,1.645944139,0.065715858,27.90589688,281.975483,1079.89291,485.2160097,950.7830137,1366.252082,147.074768,1326.433203,3763.022936,4140.227174,3108.704305,7497.080641,6613.531715,0.979513436,0.115467424,0.023283166,692.033551
Norway,NOR,2016,18.82436819,7.134554237,21.66974406,32.99065449,1097.21474,0.533266176,0.07801417,1.223843362,0.048036327,23.73675708,272.6649867,1141.161092,508.2988051,861.9223479,1276.121769,139.2070179,1264.74598,3583.551569,3879.525997,3223.70416,7191.02605,5989.418275,1.234346099,0.099241197,0.016147256,716.9024929
Oceania,,1990,2068.12672,1776.783394,1359.612771,7900.446132,2357.586413,403.5286717,16.94193252,4028.223648,1164.703246,1967.193173,1536.871106,2327.407177,61.68496577,2631.546692,2134.31082,376.2436952,789.6052218,6636.849472,3405.26084,4764.069497,6532.231418,7521.630508,146.9738799,85.07088927,246.2868499,93.51623525
Oceania,,1995,2057.53233,1762.67595,1321.009012,8305.920107,2594.307968,391.7444262,15.57262338,4119.069578,1278.167988,2061.795299,1636.34394,2716.761106,77.83323658,3049.026129,2450.301467,499.8630212,941.6352345,8280.815488,4100.346997,6069.645166,7806.486524,8383.595172,156.5034412,73.39170602,147.2677496,108.7000178
Oceania,,2000,1917.887226,1633.130511,1203.803987,8343.246014,2816.283865,262.3273223,11.1870295,2741.70757,773.9290672,1948.443015,1688.520086,2804.364773,95.46050507,3528.729776,2830.878901,760.2661634,1122.259792,10164.82439,4853.007214,7454.604114,9418.835641,9317.599,153.6708522,57.82393831,42.36581966,124.5199713
Oceania,,2005,1974.907087,1677.964676,1287.971456,9426.88205,3061.955504,282.8098892,9.877065534,2823.010251,801.9805652,2007.677923,1964.896215,2998.864682,125.6188689,4223.71094,3376.496102,1212.186193,1354.989797,12764.61477,5815.505976,9256.42675,11337.31075,11010.2683,171.2778546,58.3759446,64.86134061,151.6766774
Oceania,,2006,2011.111254,1706.125496,1323.109846,9717.74907,3071.642055,300.0546539,10.48927777,2814.642455,728.9003046,2016.352255,2044.689432,3039.326231,131.6255259,4364.333106,3495.003589,1260.344212,1403.197601,13254.57924,6030.461629,9586.523529,11765.84326,11369.20176,174.1322465,62.51789394,47.73402673,157.7570592
Oceania,,2010,2079.193999,1746.805432,1375.174605,10483.03574,3017.323662,350.0478303,12.6052387,3357.100972,915.7015275,2018.412765,2325.08989,3191.057178,155.5602074,4816.848839,3890.90984,1205.735935,1593.867747,15173.56077,6795.056704,10645.64292,13292.30042,12696.68406,176.7337347,70.94620244,42.05208498,179.5052977
Oceania,,2016,1667.692583,1373.118054,1123.117001,10500.90226,3865.195197,264.765929,8.118834194,2466.68558,637.584766,1888.037481,2538.05277,3510.974293,195.1659857,5284.317179,4328.152081,1126.230232,1857.429095,18110.49968,7805.209049,12494.05472,15314.03927,13862.30055,176.6344855,48.71406558,19.28761389,215.7035282
Oman,OMN,1990,45.79021382,28.70053912,96.33854606,669.1550658,685.6393328,43.29967273,0.715075129,365.2825678,68.68440466,563.5309647,192.6873604,18.0158207,13.59991992,176.4441417,167.2667835,16.57660504,187.2116941,791.6881008,737.0046133,528.4065356,1129.157654,325.9641999,5.868735984,9.617164836,4.092908869,47.75583833
Oman,OMN,1995,27.45808951,11.40484142,57.80854111,464.3397435,678.1007952,21.27517472,0.435237305,175.0356547,26.49982439,440.8673853,162.8376363,19.76650681,20.27630229,184.1119428,189.6146122,19.25637796,225.0559536,1022.648758,912.9068316,708.1042167,1323.84756,406.0411632,5.991392497,3.969944516,0.739792973,59.13590075
Oman,OMN,2000,14.74417881,3.892893423,36.41253865,282.6345561,632.5261373,9.708572876,0.179527869,74.14101286,9.095736686,289.1001796,169.3255822,20.86505373,21.30835586,123.9631327,180.6928835,22.50798784,241.7160254,1223.721943,919.0847407,804.7518345,1416.552189,368.3462127,4.362279453,1.651030039,0.254680295,61.51388529
Oman,OMN,2005,10.86810295,2.463276679,24.6086489,110.8133211,632.7796759,4.328778124,0.110122124,30.14979913,3.541663523,115.1544293,182.8725735,39.65601074,27.02166765,75.70290794,216.5655586,20.31075773,271.0127443,1519.171314,994.465615,1071.853857,1654.779572,336.7864419,4.0327038,0.625785932,0.151356579,71.52195534
Oman,OMN,2006,10.38771678,2.345074126,22.88378162,93.00261934,641.506607,3.965392657,0.106165333,27.15322877,3.128271686,105.0252165,187.0781977,43.92560572,28.77860336,66.76934068,221.6649459,20.96224723,276.871581,1589.530664,1014.467932,1138.146208,1711.52421,339.0221669,4.061275262,0.548408026,0.145763519,72.02242108
